seed,model_type,chem_model,checkpoint_name,feature_type,test_rate,data_augmentation,protainData_extended,scale,valid_MSE,valid_MAE,valid_r2,valid_rm2,valid_CI,test_MSE,test_MAE,test_r2,test_rm2,test_CI
241,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.0024,0.03864,0.93017,0.85349,0.94318,1.24899,0.86911,0.27023,0.31387,0.71651
241,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00192,0.03356,0.95047,0.86756,0.94203,1.34739,0.90219,0.21273,0.25585,0.68453
241,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.0035,0.04811,0.89709,0.72959,0.93514,1.15769,0.83128,0.32357,0.30894,0.7109
241,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.00218,0.03671,0.94366,0.84514,0.93281,1.17199,0.84629,0.31522,0.33593,0.71583
342,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.00243,0.03936,0.92401,0.75638,0.92717,1.25227,0.83205,0.31856,0.31408,0.7154
342,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00247,0.03841,0.92893,0.8292,0.93901,1.37885,0.86796,0.24968,0.28136,0.71909
342,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.00318,0.04577,0.89967,0.78544,0.92587,1.22619,0.82959,0.33276,0.31567,0.72263
342,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.00334,0.04797,0.90411,0.8223,0.93005,1.22601,0.84798,0.33285,0.31665,0.71859
510,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.00428,0.05449,0.87241,0.72195,0.92796,1.07531,0.80977,0.28547,0.28026,0.69703
510,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00258,0.04026,0.93288,0.77861,0.92568,1.16244,0.86397,0.22757,0.24914,0.68037
510,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.00262,0.04051,0.92119,0.77297,0.92948,1.13251,0.83135,0.24746,0.27647,0.69596
510,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.00247,0.0389,0.93527,0.80096,0.93701,1.2812,0.89966,0.14866,0.19391,0.65621
2334,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.00196,0.03441,0.94027,0.84719,0.92968,1.33316,0.90579,0.16063,0.19951,0.64544
2334,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00235,0.0388,0.94192,0.76113,0.94064,1.36942,0.91262,0.13781,0.20153,0.66911
2334,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.00226,0.03756,0.93068,0.86858,0.93567,1.39313,0.9196,0.12288,0.17118,0.63586
2334,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.00178,0.033,0.95607,0.84241,0.93891,1.27216,0.8733,0.19904,0.2175,0.66115
3745,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.00211,0.0368,0.93438,0.80369,0.9368,1.41262,0.86488,0.14933,0.20253,0.66791
3745,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00189,0.03401,0.94984,0.86953,0.93177,1.29404,0.84992,0.22074,0.22101,0.66545
3745,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.00292,0.04394,0.90867,0.72633,0.93243,1.39659,0.86484,0.15898,0.19927,0.67735
3745,mlp,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.0026,0.0384,0.93106,0.80186,0.93347,1.4248,0.90697,0.14199,0.17568,0.65629
